hours,bot,mid,top,tav
109.5,55.69,59.2,47.01,57.42
109.75,55.62,59.2,47.01,57.41
110,55.62,59.14,46.95,57.35
110.25,55.56,59.14,46.92,57.34
110.5,55.5,59.14,46.85,57.29
110.75,55.5,59.14,46.85,57.29
111,55.5,59.14,46.82,57.26
111.25,55.38,59.08,46.79,57.2
111.5,55.31,59.01,46.79,57.15
111.75,55.31,59.01,46.7,57.15
112,55.31,58.95,46.69,57.1
112.25,55.25,59.01,46.63,57.07
112.5,55.19,58.95,46.63,57.03
112.75,55.19,58.89,46.57,57
113,55.19,58.89,46.54,56.98
113.25,55.06,58.89,46.48,56.93
113.5,55.06,58.83,46.48,56.88
113.75,55,58.83,46.45,56.87
114,54.94,58.83,46.45,56.82
114.25,54.94,58.76,46.41,56.79
114.5,54.88,58.76,46.41,56.76
114.75,54.88,58.7,46.35,56.73
115,54.81,58.7,46.32,56.69
115.25,54.75,58.7,46.26,56.63
115.5,54.75,58.64,46.29,56.62
115.75,54.69,58.64,46.26,56.59
116,54.69,58.58,46.2,56.56
116.25,54.62,58.58,46.16,56.51
116.5,54.62,58.51,46.13,56.47
116.75,54.56,58.51,46.1,56.44
117,54.5,58.51,46.01,56.4
117.25,54.5,58.39,46.01,56.35
117.5,54.5,58.39,45.98,56.34
117.75,54.44,58.39,45.95,56.31
118,54.38,58.33,45.88,56.26
118.25,54.31,58.33,45.79,56.21
118.5,54.25,58.33,45.82,56.17
118.75,54.25,58.26,45.76,56.15
119,54.19,58.26,45.73,56.09
119.25,54.12,58.2,45.7,56.04
119.5,54.06,58.14,45.67,55.98
119.75,54,58.14,45.57,55.95
120,53.94,58.08,45.6,55.9
120.25,53.94,58.08,45.51,55.87
120.5,53.88,58.01,45.54,55.81
120.75,53.81,58.01,45.51,55.76
121,53.75,57.95,45.45,55.7
121.25,53.75,57.89,45.39,55.67
121.5,53.62,57.89,45.35,55.6
121.75,53.56,57.83,45.32,55.55
122,53.56,57.83,45.26,55.54
122.25,53.56,57.76,45.29,55.49
122.5,53.5,57.7,45.2,55.43
122.75,53.44,57.7,45.2,55.4
123,53.38,57.64,45.14,55.34
123.25,53.31,57.64,45.13,55.29
123.5,53.25,57.58,45.07,55.26
123.75,53.19,57.51,45.07,55.18
124,53.19,57.51,45.04,55.15
124.25,53.12,57.45,44.95,55.1
124.5,53.12,57.39,44.98,55.07
124.75,53.06,57.33,44.95,55.01
125,53,57.33,44.89,54.98
125.25,52.94,57.26,44.89,54.91
125.5,52.94,57.26,44.82,54.9
125.75,52.88,57.2,44.82,54.84
126,52.81,57.2,44.79,54.8
126.25,52.81,57.14,44.76,54.76
126.5,52.75,57.08,44.73,54.7
126.75,52.69,57.01,44.7,54.65
127,52.62,57.01,44.64,54.63
127.25,52.56,56.95,44.64,54.55
127.5,52.56,56.89,44.6,54.54
127.75,52.5,56.89,44.6,54.49
128,52.44,56.83,44.6,54.42
128.25,52.38,56.76,44.57,54.38
128.5,52.38,56.76,44.48,54.34
128.75,52.31,56.76,44.45,54.3
129,52.25,56.64,44.42,54.26
129.25,52.25,56.58,44.42,54.21
129.5,52.12,56.58,44.39,54.15
129.75,52.12,56.51,44.32,54.12
130,52.06,56.45,44.29,54.05
130.25,52.06,56.45,44.29,54.02
130.5,51.94,56.39,44.23,53.96
130.75,51.94,56.33,44.17,53.92
131,51.94,56.26,44.17,53.87
131.25,51.81,56.2,44.14,53.79
131.5,51.75,56.14,44.14,53.73
131.75,51.75,56.08,44.1,53.7
132,51.69,56.08,44.04,53.65
132.25,51.62,56.01,44.04,53.58
132.5,51.62,55.95,43.98,53.54
132.75,51.56,55.89,43.98,53.49
133,51.44,55.89,43.92,53.43
133.25,51.44,55.83,43.92,53.38
133.5,51.38,55.76,43.85,53.32
133.75,51.31,55.7,43.79,53.28
134,51.25,55.7,43.76,53.22
134.25,51.25,55.64,43.79,53.18
134.5,51.12,55.51,43.7,53.09
134.75,51.12,55.51,43.67,53.07
135,51.06,55.45,43.64,53.02
135.25,51,55.39,43.6,52.96
135.5,50.94,55.33,43.57,52.88
135.75,50.88,55.26,43.51,52.84
136,50.88,55.26,43.42,52.82
136.25,50.81,55.14,43.42,52.74
136.5,50.75,55.14,43.42,52.71
136.75,50.69,55.08,43.35,52.63
137,50.69,55.01,43.32,52.59
137.25,50.56,54.95,43.29,52.53
137.5,50.56,54.89,43.23,52.47
137.75,50.5,54.83,43.23,52.4
138,50.44,54.76,43.17,52.34
138.25,50.44,54.7,43.14,52.3
138.5,50.38,54.64,43.1,52.24
138.75,50.31,54.64,43.04,52.19
139,50.25,54.58,43.01,52.16
139.25,50.19,54.45,42.95,52.06
139.5,50.12,54.45,42.95,52.02
139.75,50.06,54.39,42.89,51.96
140,50.06,54.33,42.85,51.93
140.25,49.94,54.26,42.79,51.83
140.5,49.94,54.2,42.76,51.82
140.75,49.88,54.14,42.76,51.74
141,49.81,54.14,42.7,51.7
141.25,49.81,54.01,42.64,51.65
141.5,49.69,53.95,42.64,51.59
141.75,49.69,53.89,42.57,51.52
142,49.62,53.83,42.51,51.46
142.25,49.56,53.76,42.45,51.38
142.5,49.5,53.7,42.39,51.33
142.75,49.44,53.64,42.35,51.27
143,49.38,53.51,42.29,51.21
143.25,49.31,53.51,42.26,51.17
143.5,49.25,53.45,42.26,51.12
143.75,49.25,53.33,42.17,51.04
144,49.12,53.33,42.17,50.98
