hours,mc70,mc60,mc50
124.00,25.23,23.25,26.79
124.25,25.16,23.25,26.70
124.50,25.13,23.19,26.60
124.75,25.13,23.19,26.48
125.00,25.07,23.16,26.38
125.25,25.01,23.12,26.32
125.50,24.97,23.09,26.16
125.75,24.94,23.03,26.07
126.00,24.91,23.03,25.98
126.25,24.88,22.97,25.91
126.50,24.82,22.94,25.82
126.75,24.79,22.91,25.73
127.00,24.73,22.88,25.60
127.25,24.69,22.88,25.54
127.50,24.66,22.85,25.45
127.75,24.63,22.85,25.38
128.00,24.60,22.75,25.29
128.25,24.54,22.75,25.20
128.50,24.51,22.69,25.10
128.75,24.44,22.72,25.04
129.00,24.44,22.66,24.94
129.25,24.38,22.63,24.88
129.50,24.38,22.60,24.79
129.75,24.32,22.56,24.69
130.00,24.26,22.53,24.60
130.25,24.26,22.53,24.54
130.50,24.23,22.50,24.48
130.75,24.16,22.44,24.41
131.00,24.13,22.38,24.32
131.25,24.07,22.41,24.26
131.50,24.04,22.35,24.19
131.75,24.01,22.32,24.10
132.00,23.97,22.32,23.98
132.25,23.91,22.25,23.94
132.50,23.91,22.29,23.88
132.75,23.85,22.19,23.85
133.00,23.82,22.19,23.79
133.25,23.79,22.16,23.69
133.50,23.76,22.13,23.66
133.75,23.73,22.07,23.60
134.00,23.69,22.07,23.51
134.25,23.63,22.07,23.44
134.50,23.60,22.00,23.38
134.75,23.57,22.00,23.32
135.00,23.54,22.00,23.32
135.25,23.54,21.97,23.26
135.50,23.54,21.91,23.19
135.75,23.44,21.91,23.16
136.00,23.47,21.91,23.16
136.25,23.44,21.88,23.07
136.50,23.41,21.85,23.01
136.75,23.37,21.82,22.94
137.00,23.34,21.79,22.88
137.25,23.30,21.77,22.81
137.50,23.27,21.74,22.75
137.75,23.24,21.71,22.69
138.00,23.20,21.69,22.62
138.25,23.17,21.66,22.56
138.50,23.13,21.63,22.49
138.75,23.10,21.61,22.43
139.00,23.07,21.58,22.37
139.25,23.03,21.55,22.30
139.50,23.00,21.52,22.24
139.75,22.96,21.50,22.17
140.00,22.93,21.47,22.11
140.25,22.90,21.44,22.05
140.50,22.86,21.42,21.98
140.75,22.83,21.39,21.92
141.00,22.79,21.36,21.85
141.25,22.76,21.34,21.79
141.50,22.73,21.31,21.73
141.75,22.69,21.28,21.66
142.00,22.66,21.25,21.60
142.25,22.62,21.23,21.53
142.50,22.59,21.20,21.47
142.75,22.56,21.17,21.41
143.00,22.52,21.15,21.34
143.25,22.49,21.12,21.28
143.50,22.45,21.09,21.21
143.75,22.42,21.07,21.15
144.00,22.39,21.04,21.09
